Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,719.460022,744.48999,717.190002,729.77002,729.77002,48638200
2021-01-05,723.659973,740.840027,719.200012,735.109985,735.109985,32245200
2021-01-06,758.48999,774.0,749.099976,755.97998,755.97998,44700000
2021-01-07,777.630005,816.98999,775.200012,816.039978,816.039978,51498900
2021-01-08,856.0,884.48999,838.390015,880.02002,880.02002,75055500
2021-01-11,849.400024,854.429993,803.619995,811.190002,811.190002,59301600
2021-01-12,831.0,868.0,827.340027,849.440002,849.440002,46270700
2021-01-13,852.76001,860.469971,832.0,854.409973,854.409973,33312500
2021-01-14,843.390015,863.0,838.75,845.0,845.0,31266300
2021-01-15,852.0,859.900024,819.099976,826.159973,826.159973,38777600
2021-01-19,837.799988,850.0,833.0,844.549988,844.549988,25367000
2021-01-20,858.73999,859.5,837.280029,850.450012,850.450012,25665900
2021-01-21,855.0,855.719971,841.419983,844.98999,844.98999,20521100
2021-01-22,834.309998,848.0,828.619995,846.640015,846.640015,20066500
2021-01-25,855.0,900.400024,838.820007,880.799988,880.799988,41173400
2021-01-26,891.380005,895.900024,871.599976,883.090027,883.090027,23131600
2021-01-27,870.349976,891.5,858.659973,864.159973,864.159973,27334000
2021-01-28,820.0,848.0,801.0,835.429993,835.429993,26378000
2021-01-29,830.0,842.409973,780.099976,793.530029,793.530029,34990800
2021-02-01,814.289978,842.0,795.559998,839.809998,839.809998,25391400
2021-02-02,844.679993,880.5,842.200012,872.789978,872.789978,24346200
2021-02-03,877.02002,878.080017,853.059998,854.690002,854.690002,18343500
2021-02-04,855.0,856.5,833.419983,849.98999,849.98999,15812700
2021-02-05,845.0,864.77002,838.969971,852.22998,852.22998,18566600
2021-02-08,869.669983,877.77002,854.75,863.419983,863.419983,20161700
2021-02-09,855.119995,859.799988,841.75,849.460022,849.460022,15157700
2021-02-10,843.640015,844.820007,800.02002,804.820007,804.820007,36216100
2021-02-11,812.440002,829.880005,801.72998,811.659973,811.659973,21622800
2021-02-12,801.26001,817.330017,785.330017,816.119995,816.119995,23768300
2021-02-16,818.0,821.0,792.440002,796.219971,796.219971,19802300
2021-02-17,779.090027,799.840027,762.01001,798.150024,798.150024,25996500
2021-02-18,780.900024,794.690002,776.27002,787.380005,787.380005,17957100
2021-02-19,795.0,796.789978,777.369995,781.299988,781.299988,18958300
2021-02-22,762.640015,768.5,710.200012,714.5,714.5,37269700
2021-02-23,662.130005,713.609985,619.0,698.840027,698.840027,66606900
2021-02-24,711.849976,745.0,694.169983,742.02002,742.02002,36767000
2021-02-25,726.150024,737.210022,670.580017,682.219971,682.219971,39023900
2021-02-26,700.0,706.700012,659.51001,675.5,675.5,41089200
2021-03-01,690.109985,719.0,685.049988,718.429993,718.429993,27136200
2021-03-02,718.280029,721.109985,685.0,686.440002,686.440002,23732200
2021-03-03,687.98999,700.700012,651.710022,653.200012,653.200012,30208000
2021-03-04,655.799988,668.450012,600.0,621.440002,621.440002,65919500
2021-03-05,626.059998,627.840027,539.48999,597.950012,597.950012,89396500
2021-03-08,600.549988,620.130005,558.789978,563.0,563.0,51787000
2021-03-09,608.179993,678.090027,595.210022,673.580017,673.580017,67523300
2021-03-10,700.299988,717.849976,655.059998,668.059998,668.059998,60605700
2021-03-11,699.400024,702.5,677.179993,699.599976,699.599976,36253900
2021-03-12,670.0,694.880005,666.140015,693.72998,693.72998,33583800
2021-03-15,694.090027,713.179993,684.039978,707.940002,707.940002,29335600
2021-03-16,703.349976,707.919983,671.0,676.880005,676.880005,32195700
2021-03-17,656.869995,703.72998,651.01001,701.809998,701.809998,40372500
2021-03-18,684.289978,689.22998,652.0,653.159973,653.159973,33224800
2021-03-19,646.599976,657.22998,624.619995,654.869995,654.869995,42894000
2021-03-22,684.590027,699.619995,668.75,670.0,670.0,39512200
2021-03-23,675.77002,677.799988,657.51001,662.159973,662.159973,30491900
2021-03-24,667.909973,668.02002,630.109985,630.27002,630.27002,33795200
2021-03-25,613.0,645.5,609.5,640.390015,640.390015,39224900
